F83,F71-ramkrishna.s.vasudevan@intel.com,F71-jtaylor@salesforce.com,F71-jamestaylor@apache.org,F71-tdsilva@salesforce.com,F71-ndimiduk@apache.org,F71-twdsilva@gmail.com,F71-samarth.jain@salesforce.com,F71-jeffreyz@apache.org,F71-enis@apache.org,F71-maryannxue@apache.org,F71-jzhong@JZhongs-MacBook-Pro.local,F71-elilevine@apache.org,F71-stoens@apache.org,F71-jmahonin@interset.com,F71-gabrielr@ngdata.com,F71-rajeshbabu@apache.org,F71-ramkrishna.s.vasudevan@gmail.com,F71-samarth@apache.org,F71-mujtaba@apache.org,F71-wei.xue@intel.com,F74,F85,F73,F84,F146,F147,
755,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1501,1,1977,320,1065,749,
755,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1501,1,1977,320,1065,749,
755,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1501,1,1977,320,1065,749,
755,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1501,1,1977,320,1065,749,
755,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1501,1,1977,320,1065,749,
1172,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1918,1,1977,320,1065,749,
1172,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1918,1,1977,320,1065,749,
1172,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1918,1,1977,320,1065,749,
1172,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1918,1,1977,320,1065,749,
1172,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1918,1,1977,320,1065,749,
320,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1065,1,1977,320,1065,749,
102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,848,1,1977,14,759,749,
102,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,848,1,1977,14,759,749,
102,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,848,1,1977,14,759,749,
14,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,759,1,1977,14,759,749,
14,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,759,1,1977,14,759,749,
14,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,759,1,1977,14,759,749,
14,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,759,1,1977,14,759,749,
79,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,1,1977,14,759,749,
79,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,825,1,1977,14,759,749,
102,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,848,1,1977,14,759,749,
181,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,927,1,1977,14,759,749,
181,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,927,1,1977,14,759,749,
181,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,927,1,1977,14,759,749,
181,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,927,1,1977,14,759,749,
181,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,927,1,1977,14,759,749,
181,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,927,1,1977,14,759,749,
181,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,927,1,1977,14,759,749,
181,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,927,1,1977,14,759,749,
181,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,927,1,1977,14,759,749,
181,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,927,1,1977,14,759,749,
181,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,927,1,1977,14,759,749,
568,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1314,1,1977,14,759,749,
79,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,825,1,1977,14,759,749,
79,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,825,1,1977,14,759,749,
79,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,825,1,1977,14,759,749,
79,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,825,1,1977,14,759,749,
79,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,825,1,1977,14,759,749,
483,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1229,1,1977,14,759,749,
744,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1490,1,1977,14,759,749,
168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,1,1977,14,759,749,
168,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,1,1977,14,759,749,
48,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,794,1,1977,14,759,749,
48,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,794,1,1977,14,759,749,
48,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,794,1,1977,14,759,749,
150,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,896,1,1977,14,759,749,
150,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,896,1,1977,14,759,749,
18,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,764,1,1977,14,759,749,
18,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,764,1,1977,14,759,749,
18,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,764,1,1977,14,759,749,
18,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,764,1,1977,14,759,749,
18,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,764,1,1977,14,759,749,
18,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,764,1,1977,14,759,749,
18,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,764,1,1977,14,759,749,
18,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,764,1,1977,14,759,749,
18,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,764,1,1977,14,759,749,
18,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,764,1,1977,14,759,749,
18,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,764,1,1977,14,759,749,
18,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,764,1,1977,14,759,749,
18,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,764,1,1977,14,759,749,
18,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,764,1,1977,14,759,749,
18,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,764,1,1977,14,759,749,
18,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,764,1,1977,14,759,749,
18,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,764,1,1977,14,759,749,
18,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,764,1,1977,14,759,749,
18,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,764,1,1977,14,759,749,
18,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,764,1,1977,14,759,749,
18,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,764,1,1977,14,759,749,
18,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,764,1,1977,14,759,749,
18,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,764,1,1977,14,759,749,
18,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,764,1,1977,14,759,749,
18,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,764,1,1977,14,759,749,
18,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,764,1,1977,14,759,749,
18,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,764,1,1977,14,759,749,
18,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,764,1,1977,14,759,749,
18,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,764,1,1977,14,759,749,
18,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,764,1,1977,14,759,749,
18,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,764,1,1977,14,759,749,
18,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,764,1,1977,14,759,749,
18,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,764,1,1977,14,759,749,
18,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,764,1,1977,14,759,749,
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,764,1,1977,14,759,749,
18,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,764,1,1977,14,759,749,
18,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,764,1,1977,14,759,749,
18,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,764,1,1977,14,759,749,
18,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,764,1,1977,14,759,749,
18,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,764,1,1977,14,759,749,
18,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,764,1,1977,14,759,749,
18,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,764,1,1977,14,759,749,
430,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1174,1,1977,14,759,749,
430,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1174,1,1977,14,759,749,
430,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1174,1,1977,14,759,749,
124,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870,1,1977,14,759,749,
124,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870,1,1977,14,759,749,
124,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870,1,1977,14,759,749,
150,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,896,1,1977,14,759,749,
355,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1101,1,1977,14,759,749,
72,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,818,1,1977,14,759,749,
168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,1,1977,14,759,749,
168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,1,1977,14,759,749,
168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,1,1977,14,759,749,
168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,1,1977,14,759,749,
168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,1,1977,14,759,749,
79,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,825,1,1977,14,759,749,
79,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,825,1,1977,14,759,749,
79,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,825,1,1977,14,759,749,
79,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,1,1977,14,759,749,
79,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,825,1,1977,14,759,749,
131,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,877,1,1977,14,759,749,
131,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,877,1,1977,14,759,749,
131,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,877,1,1977,14,759,749,
150,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,896,1,1977,14,759,749,
150,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,896,1,1977,14,759,749,
150,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,896,1,1977,14,759,749,
150,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,896,1,1977,14,759,749,
150,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,896,1,1977,14,759,749,
150,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,896,1,1977,14,759,749,
150,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,896,1,1977,14,759,749,
150,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,896,1,1977,14,759,749,
150,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,896,1,1977,14,759,749,
17,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,762,1,1977,9,751,749,
17,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,762,1,1977,9,751,749,
17,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,762,1,1977,9,751,749,
318,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1064,1,1977,9,751,749,
320,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1065,1,1977,9,751,749,
10,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,756,1,1977,9,751,749,
10,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,756,1,1977,9,751,749,
10,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,756,1,1977,9,751,749,
10,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,756,1,1977,9,751,749,
10,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,756,1,1977,9,751,749,
10,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,756,1,1977,9,751,749,
10,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,756,1,1977,9,751,749,
10,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,756,1,1977,9,751,749,
10,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,756,1,1977,9,751,749,
10,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,756,1,1977,9,751,749,
10,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,756,1,1977,9,751,749,
10,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,756,1,1977,9,751,749,
10,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,756,1,1977,9,751,749,
10,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,756,1,1977,9,751,749,
10,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,756,1,1977,9,751,749,
10,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,756,1,1977,9,751,749,
10,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,756,1,1977,9,751,749,
9,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,751,1,1977,9,751,749,
9,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,751,1,1977,9,751,749,
320,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1065,1,1977,9,751,749,
79,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,825,1,1977,9,751,749,
79,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,825,1,1977,9,751,749,
79,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,825,1,1977,9,751,749,
240,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,986,1,1977,9,751,749,
17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,762,1,1977,9,751,749,
17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,762,1,1977,9,751,749,
17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,762,1,1977,9,751,749,
17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,762,1,1977,9,751,749,
17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,762,1,1977,9,751,749,
17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,762,1,1977,9,751,749,
17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,762,1,1977,9,751,749,
568,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314,1,1977,9,751,749,
568,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314,1,1977,9,751,749,
17,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,762,1,1977,9,751,749,
17,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,762,1,1977,9,751,749,
17,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,762,1,1977,9,751,749,
17,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,762,1,1977,9,751,749,
17,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,762,1,1977,9,751,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,974,1,1977,79,825,749,
