BAD_PRACTICE,SE_BAD_FIELD_INNER_CLASS,org/apache/log4j/BasicConfigurationFactory.java,,54-67,[        public BasicConfiguration() {,             super(ConfigurationSource.NULL_SOURCE);, ,             final LoggerConfig root = getRootLogger();,             setName("BasicConfiguration");,             final String levelName = System.getProperty(DEFAULT_LEVEL);,             final Level level = (levelName != null && Level.getLevel(levelName) != null) ? Level.getLevel(levelName),                     : Level.DEBUG;,             root.setLevel(level);,         }, ,         @Override,         protected void doConfigure() {,         }],,
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,org/apache/log4j/BasicConfigurationFactory.java,,54-67,[        public BasicConfiguration() {,             super(ConfigurationSource.NULL_SOURCE);, ,             final LoggerConfig root = getRootLogger();,             setName("BasicConfiguration");,             final String levelName = System.getProperty(DEFAULT_LEVEL);,             final Level level = (levelName != null && Level.getLevel(levelName) != null) ? Level.getLevel(levelName),                     : Level.DEBUG;,             root.setLevel(level);,         }, ,         @Override,         protected void doConfigure() {,         }],,
BAD_PRACTICE,NM_CONFUSING,org/apache/log4j/LevelTest.java,testINFO,186-187,[        assertTrue(Level.INFO instanceof Level);,     }],,testInfo,330-368,[        currentLevel = Level.INFO;, ,         currentEvent = events[0];,         info("Hello");,         info(null, "Hello");,         currentEvent = events[1];,         info(MarkerManager.getMarker("TEST"), "Hello");,         currentEvent = events[2];,         info("Hello", t);,         info(null, "Hello", t);,         currentEvent = events[3];,         info(MarkerManager.getMarker("TEST"), "Hello", t);,         currentEvent = events[4];,         info(obj);,         currentEvent = events[5];,         info(MarkerManager.getMarker("TEST"), obj);,         currentEvent = events[6];,         info(obj, t);,         info(null, obj, t);,         currentEvent = events[7];,         info(MarkerManager.getMarker("TEST"), obj, t);,         currentEvent = events[8];,         info(pattern, p1, p2);,         currentEvent = events[9];,         info(MarkerManager.getMarker("TEST"), pattern, p1, p2);,         currentEvent = events[10];,         info(simple);,         info(null, simple);,         info(null, simple, null);,         currentEvent = events[11];,         info(simple, t);,         info(null, simple, t);,         currentEvent = events[12];,         info(MarkerManager.getMarker("TEST"), simple, null);,         currentEvent = events[13];,         info(MarkerManager.getMarker("TEST"), simple, t);,         currentEvent = events[14];,         info(MarkerManager.getMarker("TEST"), simple);,     }],,
BAD_PRACTICE,NM_CONFUSING,org/apache/log4j/LevelTest.java,testTRACE,202-203,[        assertTrue(Level.TRACE instanceof Level);,     }],,testTrace,390-410,[        final ListAppender appender = new ListAppender("List");,         appender.start();,         final Logger root = Logger.getRootLogger();,         root.getLogger().addAppender(appender);,         root.setLevel(Level.INFO);, ,         final Logger tracer = Logger.getLogger("com.example.Tracer");,         tracer.setLevel(Level.TRACE);, ,         tracer.trace("Message 1");,         root.trace("Discarded Message");,         root.trace("Discarded Message");, ,         final List<LogEvent> msgs = appender.getEvents();,         assertEquals(1, msgs.size());,         final LogEvent event = msgs.get(0);,         assertEquals(org.apache.logging.log4j.Level.TRACE, event.getLevel());,         assertEquals("Message 1", event.getMessage().getFormat());,         appender.stop();,         root.getLogger().removeAppender(appender);,     }],,
BAD_PRACTICE,NM_CONFUSING,org/apache/log4j/LevelTest.java,testWARN,178-179,[        assertTrue(Level.WARN instanceof Level);,     }],,testWarn,666-704,[        currentLevel = Level.WARN;, ,         currentEvent = events[0];,         warn("Hello");,         warn(null, "Hello");,         currentEvent = events[1];,         warn(MarkerManager.getMarker("TEST"), "Hello");,         currentEvent = events[2];,         warn("Hello", t);,         warn(null, "Hello", t);,         currentEvent = events[3];,         warn(MarkerManager.getMarker("TEST"), "Hello", t);,         currentEvent = events[4];,         warn(obj);,         currentEvent = events[5];,         warn(MarkerManager.getMarker("TEST"), obj);,         currentEvent = events[6];,         warn(obj, t);,         warn(null, obj, t);,         currentEvent = events[7];,         warn(MarkerManager.getMarker("TEST"), obj, t);,         currentEvent = events[8];,         warn(pattern, p1, p2);,         currentEvent = events[9];,         warn(MarkerManager.getMarker("TEST"), pattern, p1, p2);,         currentEvent = events[10];,         warn(simple);,         warn(null, simple);,         warn(null, simple, null);,         currentEvent = events[11];,         warn(simple, t);,         warn(null, simple, t);,         currentEvent = events[12];,         warn(MarkerManager.getMarker("TEST"), simple, null);,         currentEvent = events[13];,         warn(MarkerManager.getMarker("TEST"), simple, t);,         currentEvent = events[14];,         warn(MarkerManager.getMarker("TEST"), simple);,     }],,
BAD_PRACTICE,NM_CONFUSING,org/apache/log4j/LoggerTest.java,tearDown,76-80,[        final LoggerContext ctx = (LoggerContext) org.apache.logging.log4j.LogManager.getContext();,         ctx.reconfigure();,         a1 = null;,         a2 = null;,     }],,teardown,93-102,[        final Map<String, Appender> map = root.getAppenders();,         for (final Map.Entry<String, Appender> entry : map.entrySet()) {,             final Appender app = entry.getValue();,             root.removeAppender(app);,             app.stop();,         },         tcpCount = 0;,         udpCount = 0;,         list.clear();,     }],,
PERFORMANCE,DM_STRING_CTOR,org/apache/log4j/VelocityTest.java,testVelocity,54-54,[        vContext.put("name", new String("Velocity"));],,
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,org/apache/log4j/util/SerializationTestHelper.java,assertStreamEquals,119-119,[            final FileInputStream is = new FileInputStream(witnessFile);],,assertStreamEquals,120-120,[            final int bytesRead = is.read(expected);],,
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,org/apache/log4j/util/SerializationTestHelper.java,assertStreamEquals,147-147,[            final FileOutputStream os = new FileOutputStream(witnessFile);],,assertStreamEquals,148-148,[            os.write(actual);],,
BAD_PRACTICE,NM_CONFUSING,org/apache/log4j/util/StringsTest.java,testEMPTY,33-35,[        Assert.assertEquals("", Strings.EMPTY);,         Assert.assertEquals(0, Strings.EMPTY.length());,     }],,testEmpty,70-79,[        final File file = new File("target/fileRename/fileRename.log");,         final PrintStream pos = new PrintStream(file);,         pos.close();, ,         final File dest = new File("target/fileRename/newFile.log");,         final FileRenameAction action = new FileRenameAction(file, dest, false);,         action.execute();,         assertTrue("Renamed file does not exist", !dest.exists());,         assertTrue("Old file does not exist", !file.exists());,     }],,
I18N,DM_DEFAULT_ENCODING,org/apache/logging/dumbster/smtp/SimpleSmtpServer.java,run,108-108,[                final BufferedReader input = new BufferedReader(new InputStreamReader(socket.getInputStream()));],,
I18N,DM_DEFAULT_ENCODING,org/apache/logging/dumbster/smtp/SimpleSmtpServer.java,run,109-109,[                final PrintWriter out = new PrintWriter(socket.getOutputStream());],,
MT_CORRECTNESS,NN_NAKED_NOTIFY,org/apache/logging/dumbster/smtp/SimpleSmtpServer.java,run,90-90,[                    notifyAll();],,
STYLE,RCN_REDUNDANT_NULLCHECK_OF_NULL_VALUE,org/apache/logging/dumbster/smtp/SimpleSmtpServer.java,run,101-101,[                    if (socket != null) {],,
STYLE,REC_CATCH_EXCEPTION,org/apache/logging/dumbster/smtp/SimpleSmtpServer.java,run,123-123,[        } catch (final Exception e) {],,
STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,org/apache/logging/dumbster/smtp/SimpleSmtpServer.java,stop,155-155,[            serverSocket.close();],,
MT_CORRECTNESS,UW_UNCOND_WAIT,org/apache/logging/dumbster/smtp/SimpleSmtpServer.java,start,271-271,[                server.wait();],,
MT_CORRECTNESS,WA_NOT_IN_LOOP,org/apache/logging/dumbster/smtp/SimpleSmtpServer.java,start,271-271,[                server.wait();],,
I18N,DM_CONVERT_CASE,org/apache/logging/dumbster/smtp/SmtpRequest.java,createRequest,191-191,[            final String su = s.toUpperCase();],,
BAD_PRACTICE,SE_BAD_FIELD,org/apache/logging/log4j/AbstractLoggerTest.java,,39-43,[        public LogEvent(final String markerName, final Message data, final Throwable t) {,             this.markerName = markerName;,             this.data = data;,             this.t = t;,         }],,
STYLE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,org/apache/logging/log4j/AbstractLoggerTest.java,testDebug,204-204,[        currentLevel = Level.DEBUG;],,
STYLE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,org/apache/logging/log4j/AbstractLoggerTest.java,testError,246-246,[        currentLevel = Level.ERROR;],,
STYLE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,org/apache/logging/log4j/AbstractLoggerTest.java,testFatal,288-288,[        currentLevel = Level.FATAL;],,
STYLE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,org/apache/logging/log4j/AbstractLoggerTest.java,testInfo,330-330,[        currentLevel = Level.INFO;],,
STYLE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,org/apache/logging/log4j/AbstractLoggerTest.java,testLogDebug,372-372,[        currentLevel = Level.DEBUG;],,
STYLE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,org/apache/logging/log4j/AbstractLoggerTest.java,testLogError,414-414,[        currentLevel = Level.ERROR;],,
STYLE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,org/apache/logging/log4j/AbstractLoggerTest.java,testLogFatal,456-456,[        currentLevel = Level.FATAL;],,
STYLE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,org/apache/logging/log4j/AbstractLoggerTest.java,testLogInfo,498-498,[        currentLevel = Level.INFO;],,
STYLE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,org/apache/logging/log4j/AbstractLoggerTest.java,testLogTrace,540-540,[        currentLevel = Level.TRACE;],,
STYLE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,org/apache/logging/log4j/AbstractLoggerTest.java,testLogWarn,582-582,[        currentLevel = Level.WARN;],,
STYLE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,org/apache/logging/log4j/AbstractLoggerTest.java,testTrace,624-624,[        currentLevel = Level.TRACE;],,
STYLE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,org/apache/logging/log4j/AbstractLoggerTest.java,testWarn,666-666,[        currentLevel = Level.WARN;],,
BAD_PRACTICE,NM_CONFUSING,org/apache/logging/log4j/EventLoggerTest.java,setup,40-41,[        results.clear();,     }],,setUp,43-47,[        final Log4jJsonObjectMapper log4jObjectMapper = new Log4jJsonObjectMapper();,         writer = log4jObjectMapper.writer();,         reader = log4jObjectMapper.reader(Log4jMarker.class);,         MarkerManager.clear();,     }],,
PERFORMANCE,DM_NUMBER_CTOR,org/apache/logging/log4j/FilterPerformanceComparison.java,log4j2,126-126,[        final Integer j = new Integer(2);],,
PERFORMANCE,DM_NUMBER_CTOR,org/apache/logging/log4j/FilterPerformanceComparison.java,logback,116-116,[        final Integer j = new Integer(2);],,
MALICIOUS_CODE,MS_SHOULD_BE_FINAL,org/apache/logging/log4j/FormatterLoggerManualExample.java,,37-37,[    public static Logger logger = LogManager.getFormatterLogger("Foo");],,
I18N,DM_CONVERT_CASE,org/apache/logging/log4j/Level.java,valueOf,282-282,[        final String levelName = name.toUpperCase();],,
PERFORMANCE,DM_BOXED_PRIMITIVE_TOSTRING,org/apache/logging/log4j/LoggerTest.java,mdc,324-324,[        ThreadContext.put("TestYear", new Integer(2010).toString());],,
PERFORMANCE,DM_NUMBER_CTOR,org/apache/logging/log4j/LoggerTest.java,mdc,324-324,[        ThreadContext.put("TestYear", new Integer(2010).toString());],,
STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,org/apache/logging/log4j/MarkerManager.java,getParents,224-224,[                return null;],,
STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,org/apache/logging/log4j/MarkerMixInTest.java,testNameOnly,54-54,[        final Marker actual = reader.readValue(str);],,
STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,org/apache/logging/log4j/MarkerMixInTest.java,testOneParent,65-65,[        final Marker actual = reader.readValue(str);],,
STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,org/apache/logging/log4j/MarkerMixInTest.java,testTwoParents,90-90,[        final Marker actual = reader.readValue(str);],,
STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,org/apache/logging/log4j/MarkerMixInTest.java,writeValueAsString,75-75,[        final String str = writer.writeValueAsString(expected);],,
I18N,DM_DEFAULT_ENCODING,org/apache/logging/log4j/PerformanceComparison.java,getByteBuffer,185-185,[        buf.put(s.getBytes());],,
I18N,DM_DEFAULT_ENCODING,org/apache/logging/log4j/PerformanceComparison.java,getBytes,191-191,[        return s.getBytes();],,
I18N,DM_DEFAULT_ENCODING,org/apache/logging/log4j/PerformanceComparison.java,testRawPerformance,111-111,[        final Writer w = new FileWriter("target/testwriter.log", true);],,
PERFORMANCE,DM_NUMBER_CTOR,org/apache/logging/log4j/PerformanceComparison.java,log4j,127-127,[        final Integer j = new Integer(2);],,
PERFORMANCE,DM_NUMBER_CTOR,org/apache/logging/log4j/PerformanceComparison.java,log4j2,146-146,[        final Integer j = new Integer(2);],,
PERFORMANCE,DM_NUMBER_CTOR,org/apache/logging/log4j/PerformanceComparison.java,logback,136-136,[        final Integer j = new Integer(2);],,
PERFORMANCE,DM_NUMBER_CTOR,org/apache/logging/log4j/PerformanceComparison.java,writeToChannel,174-174,[        final Integer j = new Integer(2);],,
PERFORMANCE,DM_NUMBER_CTOR,org/apache/logging/log4j/PerformanceComparison.java,writeToStream,165-165,[        final Integer j = new Integer(2);],,
PERFORMANCE,DM_NUMBER_CTOR,org/apache/logging/log4j/PerformanceComparison.java,writeToWriter,156-156,[        final Integer j = new Integer(2);],,
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,org/apache/logging/log4j/PerformanceComparison.java,testRawPerformance,105-105,[        final OutputStream os = new FileOutputStream("target/testos.log", true);],,testRawPerformance,106-106,[        final long result1 = writeToStream(COUNT, os);],,
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,org/apache/logging/log4j/PerformanceComparison.java,testRawPerformance,111-111,[        final Writer w = new FileWriter("target/testwriter.log", true);],,testRawPerformance,112-112,[        final long result3 = writeToWriter(COUNT, w);],,
I18N,DM_DEFAULT_ENCODING,org/apache/logging/log4j/PerformanceRun.java,getByteBuffer,127-127,[        buf.put(s.getBytes());],,
I18N,DM_DEFAULT_ENCODING,org/apache/logging/log4j/PerformanceRun.java,getBytes,133-133,[        return s.getBytes();],,
I18N,DM_DEFAULT_ENCODING,org/apache/logging/log4j/PerformanceRun.java,testRawPerformance,72-72,[        final Writer w = new FileWriter("target/testwriter.log", true);],,
PERFORMANCE,DM_NUMBER_CTOR,org/apache/logging/log4j/PerformanceRun.java,writeToChannel,116-116,[        final Integer j = new Integer(2);],,
PERFORMANCE,DM_NUMBER_CTOR,org/apache/logging/log4j/PerformanceRun.java,writeToStream,107-107,[        final Integer j = new Integer(2);],,
PERFORMANCE,DM_NUMBER_CTOR,org/apache/logging/log4j/PerformanceRun.java,writeToWriter,98-98,[        final Integer j = new Integer(2);],,
MALICIOUS_CODE,MS_SHOULD_BE_FINAL,org/apache/logging/log4j/PerformanceRun.java,,46-46,[    public static InitialLoggerContext context = new InitialLoggerContext(CONFIG);],,
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,org/apache/logging/log4j/PerformanceRun.java,testRawPerformance,66-66,[        final OutputStream os = new FileOutputStream("target/testos.log", true);],,testRawPerformance,67-67,[        final long result1 = writeToStream(COUNT, os);],,
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,org/apache/logging/log4j/PerformanceRun.java,testRawPerformance,72-72,[        final Writer w = new FileWriter("target/testwriter.log", true);],,testRawPerformance,73-73,[        final long result3 = writeToWriter(COUNT, w);],,
I18N,DM_DEFAULT_ENCODING,org/apache/logging/log4j/TestLogger.java,logMessage,81-81,[            sb.append(baos.toString());],,
I18N,DM_DEFAULT_ENCODING,org/apache/logging/log4j/TestLogger.java,logMessage,80-80,[            t.printStackTrace(new PrintStream(baos));],,
MT_CORRECTNESS,LI_LAZY_INIT_STATIC,org/apache/logging/log4j/ThreadContext.java,init,227-246,[        if (contextMap == null && ProviderUtil.hasProviders()) {,             final String factoryClassName = LogManager.getFactory().getClass().getName();,             for (final Provider provider : ProviderUtil.getProviders()) {,                 if (factoryClassName.equals(provider.getClassName())) {,                     final Class<? extends ThreadContextMap> clazz = provider.loadThreadContextMap();,                     if (clazz != null) {,                         try {,                             contextMap = clazz.newInstance();,                             break;,                         } catch (final Exception e) {,                             LOGGER.error("Unable to locate or load configured ThreadContextMap {}",,                                 provider.getThreadContextMap(), e);,                             contextMap = new DefaultThreadContextMap(useMap);,                         },                     },                 },             },         },         if (contextMap == null) {,             contextMap = new DefaultThreadContextMap(useMap);],,
MT_CORRECTNESS,LI_LAZY_INIT_STATIC,org/apache/logging/log4j/ThreadContext.java,init,245-246,[        if (contextMap == null) {,             contextMap = new DefaultThreadContextMap(useMap);],,
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,org/apache/logging/log4j/ThreadContextInheritanceTest.java,,200-213,[        public TestThread(final StringBuilder sb) {,             this.sb = sb;,         }, ,         @Override,         public void run() {,             final String greeting = ThreadContext.get("Greeting");,             if (greeting == null) {,                 sb.append("null");,             } else {,                 sb.append(greeting);,             },             ThreadContext.clearMap();,         }],,
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,org/apache/logging/log4j/ThreadContextTest.java,,180-193,[        public TestThread(final StringBuilder sb) {,             this.sb = sb;,         }, ,         @Override,         public void run() {,             final String greeting = ThreadContext.get("Greeting");,             if (greeting == null) {,                 sb.append("null");,             } else {,                 sb.append(greeting);,             },             ThreadContext.clearMap();,         }],,
MALICIOUS_CODE,MS_SHOULD_BE_FINAL,org/apache/logging/log4j/core/AppenderRefLevelJsonTest.java,,40-40,[    public static InitialLoggerContext context = new InitialLoggerContext(CONFIG);],,
MALICIOUS_CODE,MS_SHOULD_BE_FINAL,org/apache/logging/log4j/core/AppenderRefLevelTest.java,,41-41,[    public static InitialLoggerContext context = new InitialLoggerContext(CONFIG);],,
STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,org/apache/logging/log4j/core/BasicConfigurationFactory.java,getSupportedTypes,40-40,[        return null;],,
BAD_PRACTICE,SE_BAD_FIELD_INNER_CLASS,org/apache/logging/log4j/core/BasicConfigurationFactory.java,,53-60,[        public BasicConfiguration() {,             super(ConfigurationSource.NULL_SOURCE);, ,             final LoggerConfig root = getRootLogger();,             final String l = System.getProperty(DEFAULT_LEVEL);,             final Level level = (l != null && Level.getLevel(l) != null) ? Level.getLevel(l) : Level.ERROR;,             root.setLevel(level);,         }],,
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,org/apache/logging/log4j/core/BasicConfigurationFactory.java,,53-60,[        public BasicConfiguration() {,             super(ConfigurationSource.NULL_SOURCE);, ,             final LoggerConfig root = getRootLogger();,             final String l = System.getProperty(DEFAULT_LEVEL);,             final Level level = (l != null && Level.getLevel(l) != null) ? Level.getLevel(l) : Level.ERROR;,             root.setLevel(level);,         }],,
MALICIOUS_CODE,MS_SHOULD_BE_FINAL,org/apache/logging/log4j/core/CollectionLoggingTest.java,,42-42,[    public static InitialLoggerContext context = new InitialLoggerContext(CONFIG);],,
MALICIOUS_CODE,MS_SHOULD_BE_FINAL,org/apache/logging/log4j/core/ExtendedLevelTest.java,,42-42,[    public static InitialLoggerContext context = new InitialLoggerContext(CONFIG);],,
STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,org/apache/logging/log4j/core/ExtendedLevelTest.java,testLevelLogging,55-55,[        List<LogEvent> events = list1.getEvents();],,
STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,org/apache/logging/log4j/core/ExtendedLevelTest.java,testLevelLogging,63-63,[        events = list2.getEvents();],,
MALICIOUS_CODE,MS_SHOULD_BE_FINAL,org/apache/logging/log4j/core/FileConfigTest.java,,39-39,[    public static InitialLoggerContext context = new InitialLoggerContext(CONFIG);],,
BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,org/apache/logging/log4j/core/FileConfigTest.java,testReconfiguration,55-55,[        file.setLastModified(newTime);],,
PERFORMANCE,URF_UNREAD_FIELD,org/apache/logging/log4j/core/FileConfigTest.java,,45-45,[        app = context.getListAppender("List").clear();],,
MALICIOUS_CODE,MS_SHOULD_BE_FINAL,org/apache/logging/log4j/core/HostNameTest.java,,44-44,[    public static InitialLoggerContext context = new InitialLoggerContext(CONFIG);],,
STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,org/apache/logging/log4j/core/HostNameTest.java,testHostname,56-56,[        final List<String> msgs = host.getMessages();],,
STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,org/apache/logging/log4j/core/HostNameTest.java,testHostname,60-60,[        assertNotNull("No Host FileAppender file name", hostFile.getFileName());],,
STYLE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,org/apache/logging/log4j/core/LateConfigTest.java,testReconfiguration,64-64,[        context = (LoggerContext) LogManager.getContext(false);],,
MALICIOUS_CODE,MS_SHOULD_BE_FINAL,org/apache/logging/log4j/core/LevelTest.java,,51-51,[    public static InitialLoggerContext context = new InitialLoggerContext(CONFIG);],,
MALICIOUS_CODE,MS_SHOULD_BE_FINAL,org/apache/logging/log4j/core/LogEventFactoryTest.java,,80-80,[    }).around(context);],,
STYLE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,org/apache/logging/log4j/core/LogEventFactoryTest.java,,80-80,[    }).around(context);],,
STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,org/apache/logging/log4j/core/LogEventFactoryTest.java,testEvent,91-91,[        final List<LogEvent> events = app.getEvents();],,
MT_CORRECTNESS,UG_SYNC_SET_UNSYNC_GET,org/apache/logging/log4j/core/Logger.java,getLevel,189-189,[        return config.level;],,setLevel,103-106,[        if (level != null) {,             config = new PrivateConfig(config, level);,         },     }],,
