F83,F71-ramkrishna.s.vasudevan@intel.com,F71-jtaylor@salesforce.com,F71-jamestaylor@apache.org,F71-tdsilva@salesforce.com,F71-ndimiduk@apache.org,F71-twdsilva@gmail.com,F71-samarth.jain@salesforce.com,F71-jeffreyz@apache.org,F71-jyates@apache.org,F71-enis@apache.org,F71-maryannxue@apache.org,F71-jzhong@JZhongs-MacBook-Pro.local,F71-elilevine@apache.org,F71-stoens@apache.org,F71-rajeshbabu.chintaguntla@huawei.com,F71-gabrielr@ngdata.com,F71-rajeshbabu@apache.org,F71-ramkrishna.s.vasudevan@gmail.com,F71-mujtaba@apache.org,F71-wei.xue@intel.com,F74,F85,F73,F84,F146,F147,
1023,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1918,1,1977,171,1065,898,
1023,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1918,1,1977,171,1065,898,
1023,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1918,1,1977,171,1065,898,
1023,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1918,1,1977,171,1065,898,
1023,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1918,1,1977,171,1065,898,
171,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1065,1,1977,171,1065,898,
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,988,1,1977,6,904,898,
206,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1101,1,1977,6,904,898,
419,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1314,1,1977,6,904,898,
281,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1174,1,1977,6,904,898,
281,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1174,1,1977,6,904,898,
281,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1174,1,1977,6,904,898,
281,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1174,1,1977,6,904,898,
38,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,933,1,1977,6,904,898,
38,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,933,1,1977,6,904,898,
38,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,933,1,1977,6,904,898,
38,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,933,1,1977,6,904,898,
997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1892,1,1977,6,904,898,
32,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,927,1,1977,6,904,898,
32,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,927,1,1977,6,904,898,
32,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,927,1,1977,6,904,898,
32,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,927,1,1977,6,904,898,
32,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,927,1,1977,6,904,898,
32,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,927,1,1977,6,904,898,
32,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,927,1,1977,6,904,898,
32,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,927,1,1977,6,904,898,
32,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,927,1,1977,6,904,898,
32,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,927,1,1977,6,904,898,
32,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,927,1,1977,6,904,898,
419,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1314,1,1977,6,904,898,
81,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,976,1,1977,6,904,898,
81,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,976,1,1977,6,904,898,
81,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,976,1,1977,6,904,898,
81,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,976,1,1977,6,904,898,
81,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,976,1,1977,6,904,898,
334,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1229,1,1977,38,933,898,
595,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1490,1,1977,6,904,898,
19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,1,1977,6,904,898,
19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,1,1977,6,904,898,
206,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1101,1,1977,6,904,898,
206,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1101,1,1977,6,904,898,
24,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,919,1,1977,6,904,898,
24,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,919,1,1977,6,904,898,
19,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,914,1,1977,6,904,898,
19,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,914,1,1977,6,904,898,
19,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,914,1,1977,6,904,898,
19,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,914,1,1977,6,904,898,
19,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,914,1,1977,6,904,898,
19,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,914,1,1977,6,904,898,
19,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,914,1,1977,6,904,898,
19,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,914,1,1977,6,904,898,
19,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,914,1,1977,6,904,898,
19,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,914,1,1977,6,904,898,
19,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,914,1,1977,6,904,898,
19,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,914,1,1977,6,904,898,
19,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,914,1,1977,6,904,898,
19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,914,1,1977,6,904,898,
19,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,914,1,1977,6,904,898,
19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,914,1,1977,6,904,898,
19,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,914,1,1977,6,904,898,
19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,914,1,1977,6,904,898,
19,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,914,1,1977,6,904,898,
19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,914,1,1977,6,904,898,
19,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,914,1,1977,6,904,898,
19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,914,1,1977,6,904,898,
19,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,914,1,1977,6,904,898,
19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,914,1,1977,6,904,898,
19,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,914,1,1977,6,904,898,
19,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,914,1,1977,6,904,898,
19,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,914,1,1977,6,904,898,
19,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,914,1,1977,6,904,898,
19,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,914,1,1977,6,904,898,
19,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,914,1,1977,6,904,898,
19,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,914,1,1977,6,904,898,
19,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,914,1,1977,6,904,898,
19,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,914,1,1977,6,904,898,
19,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,914,1,1977,6,904,898,
19,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,914,1,1977,6,904,898,
19,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,914,1,1977,6,904,898,
19,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,914,1,1977,6,904,898,
19,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,914,1,1977,6,904,898,
19,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,914,1,1977,6,904,898,
281,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1174,1,1977,6,904,898,
281,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1174,1,1977,6,904,898,
281,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1174,1,1977,6,904,898,
262,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,1,1977,6,904,898,
262,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,1,1977,6,904,898,
262,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,1,1977,6,904,898,
19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,1,1977,6,904,898,
206,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1101,1,1977,6,904,898,
206,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1101,1,1977,6,904,898,
19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,1,1977,6,904,898,
19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,1,1977,6,904,898,
19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,1,1977,6,904,898,
19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,1,1977,6,904,898,
19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,1,1977,6,904,898,
81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,976,1,1977,6,904,898,
38,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,933,1,1977,6,904,898,
38,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,933,1,1977,6,904,898,
19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,1,1977,6,904,898,
19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,914,1,1977,6,904,898,
19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,1,1977,6,904,898,
19,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,914,1,1977,6,904,898,
19,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,914,1,1977,6,904,898,
19,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,914,1,1977,6,904,898,
19,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,914,1,1977,6,904,898,
19,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,914,1,1977,6,904,898,
19,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,914,1,1977,6,904,898,
19,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,914,1,1977,6,904,898,
19,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,914,1,1977,6,904,898,
19,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,914,1,1977,6,904,898,
19,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,914,1,1977,6,904,898,
19,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,914,1,1977,6,904,898,
24,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,919,1,1977,19,914,898,
24,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,919,1,1977,19,914,898,
24,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,919,1,1977,19,914,898,
169,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1064,1,1977,19,914,898,
171,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1065,1,1977,19,914,898,
19,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,914,1,1977,19,914,898,
19,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,914,1,1977,19,914,898,
19,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,914,1,1977,19,914,898,
19,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,914,1,1977,19,914,898,
19,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,914,1,1977,19,914,898,
19,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,914,1,1977,19,914,898,
19,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,914,1,1977,19,914,898,
19,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,914,1,1977,19,914,898,
19,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,914,1,1977,19,914,898,
19,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,914,1,1977,19,914,898,
19,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,914,1,1977,19,914,898,
19,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,914,1,1977,19,914,898,
19,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,914,1,1977,19,914,898,
19,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,914,1,1977,19,914,898,
19,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,914,1,1977,19,914,898,
19,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,914,1,1977,19,914,898,
19,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,914,1,1977,19,914,898,
88,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,983,1,1977,19,914,898,
88,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,983,1,1977,19,914,898,
171,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1065,1,1977,19,914,898,
169,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1064,1,1977,19,914,898,
169,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1064,1,1977,19,914,898,
169,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1064,1,1977,19,914,898,
91,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,986,1,1977,19,914,898,
419,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314,1,1977,19,914,898,
419,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314,1,1977,19,914,898,
42,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,937,1,1977,19,914,898,
42,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,937,1,1977,19,914,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,974,1,1977,79,974,898,
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,988,1,1977,79,974,898,
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,988,1,1977,79,974,898,
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,988,1,1977,79,974,898,
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,988,1,1977,79,974,898,
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,988,1,1977,79,974,898,
