F83,F71-tallison@apache.org,F71-acoliver@apache.org,F71-kiwiwings@apache.org,F71-sergey@apache.org,F71-klute@apache.org,F71-berlog@apache.org,F71-glens@apache.org,F71-sackley@apache.org,F71-paolo@apache.org,F71-yegor@apache.org,F71-centic@apache.org,F71-jheight@apache.org,F71-ugo@apache.org,F71-maxcom@apache.org,F71-bayard@apache.org,F71-josh@apache.org,F71-avik@apache.org,F71-kiwiwings@unknown,F71-nick@apache.org,F71-cedricwalter@apache.org,F74,F85,F73,F84,F146,F147,
409,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,3676,1,8677,6,3273,3270,
409,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,3676,1,8677,6,3273,3270,
409,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,3676,1,8677,6,3273,3270,
409,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,3676,1,8677,6,3273,3270,
409,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,3676,1,8677,6,3273,3270,
409,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,3676,1,8677,6,3273,3270,
408,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3675,1,8677,6,3273,3270,
408,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3675,1,8677,6,3273,3270,
408,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3675,1,8677,6,3273,3270,
408,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3675,1,8677,6,3273,3270,
409,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,3676,1,8677,6,3273,3270,
409,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,3676,1,8677,6,3273,3270,
409,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,3676,1,8677,6,3273,3270,
409,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3676,1,8677,6,3273,3270,
409,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3676,1,8677,6,3273,3270,
2127,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5394,1,8677,6,3273,3270,
2127,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5394,1,8677,6,3273,3270,
2127,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5394,1,8677,6,3273,3270,
90,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3357,1,8677,6,3273,3270,
90,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3357,1,8677,6,3273,3270,
90,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3357,1,8677,6,3273,3270,
90,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3357,1,8677,6,3273,3270,
90,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3357,1,8677,6,3273,3270,
90,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3357,1,8677,6,3273,3270,
409,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3676,1,8677,6,3273,3270,
409,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3676,1,8677,6,3273,3270,
379,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,3646,1,8677,6,3273,3270,
379,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,3646,1,8677,6,3273,3270,
408,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,3675,1,8677,6,3273,3270,
408,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,3675,1,8677,6,3273,3270,
408,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,3675,1,8677,6,3273,3270,
408,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,3675,1,8677,6,3273,3270,
1985,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5252,1,8677,6,3273,3270,
1985,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5252,1,8677,6,3273,3270,
1985,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5252,1,8677,6,3273,3270,
1985,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5252,1,8677,6,3273,3270,
1985,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5252,1,8677,6,3273,3270,
1985,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5252,1,8677,6,3273,3270,
1985,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5252,1,8677,6,3273,3270,
1985,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5252,1,8677,6,3273,3270,
1985,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,5252,1,8677,6,3273,3270,
409,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,3676,1,8677,6,3273,3270,
409,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,3676,1,8677,6,3273,3270,
3596,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6919,1,8677,2199,5466,3270,
3596,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6919,1,8677,2199,5466,3270,
3596,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6919,1,8677,2199,5466,3270,
3596,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6919,1,8677,2199,5466,3270,
3596,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6919,1,8677,2199,5466,3270,
1767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5034,1,8677,798,4065,3270,
798,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,4065,1,8677,798,4065,3270,
798,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,4065,1,8677,798,4065,3270,
1412,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4679,1,8677,798,4065,3270,
1412,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4679,1,8677,798,4065,3270,
1412,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4679,1,8677,798,4065,3270,
1412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4679,1,8677,798,4065,3270,
1412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4679,1,8677,798,4065,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,435,3702,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,435,3702,3270,
803,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,435,3702,3270,
803,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,435,3702,3270,
803,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,435,3702,3270,
803,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,435,3702,3270,
803,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,435,3702,3270,
803,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,435,3702,3270,
803,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,435,3702,3270,
803,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,435,3702,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,435,3702,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4070,1,2090,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
803,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,4070,1,8677,803,4070,3270,
