F83,F71-mattsicker@unknown,F71-sdeboy@apache.org,F71-bbrouwer@unknown,F71-ggregory@apache.org,F71-rpopma@unknown,F71-rgoers@apache.org,F71-carnold@apache.org,F71-nickwilliams@unknown,F74,F85,F73,F84,F146,F147,
489,1,0,0,1,0,0,0,0,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,0,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,0,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,0,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,0,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,0,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,0,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,0,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,0,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,0,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,0,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,0,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,0,6464,1,8968,25,6000,5978,
438,0,0,0,1,0,1,0,0,6413,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,0,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,0,6464,1,8968,25,6000,5978,
1421,0,0,0,1,0,1,0,0,7397,1,8968,25,6000,5978,
80,1,0,0,1,1,1,0,0,6055,1,8968,25,6000,5978,
438,0,0,0,1,1,1,0,0,6413,1,8968,25,6000,5978,
438,0,0,0,1,1,1,0,0,6413,1,8968,25,6000,5978,
32,1,0,1,1,0,1,0,1,6007,1,8968,25,6000,5978,
77,0,0,0,0,0,1,0,0,6052,1,8968,25,6000,5978,
77,0,0,0,0,0,1,0,0,6052,1,8968,25,6000,5978,
77,0,0,0,0,0,1,0,0,6052,1,8968,25,6000,5978,
77,0,0,0,0,0,1,0,0,6052,1,8968,25,6000,5978,
489,1,0,0,1,0,1,0,1,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,1,0,1,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,1,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,1,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,1,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,1,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,1,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,1,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,1,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,1,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,1,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,1,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,1,6464,1,8968,25,6000,5978,
389,1,0,0,1,0,0,0,1,6364,1,8968,25,6000,5978,
389,1,0,0,1,0,0,0,1,6364,1,8968,25,6000,5978,
389,1,0,0,1,0,0,0,1,6364,1,8968,25,6000,5978,
389,1,0,0,1,0,0,0,1,6364,1,8968,25,6000,5978,
389,1,0,0,1,0,0,0,1,6364,1,8968,25,6000,5978,
389,1,0,0,1,0,0,0,1,6364,1,8968,25,6000,5978,
389,1,0,0,0,0,0,0,0,6364,1,8968,25,6000,5978,
389,1,0,0,1,0,0,0,1,6364,1,8968,25,6000,5978,
389,1,0,0,1,0,0,0,1,6364,1,8968,25,6000,5978,
389,1,0,0,1,0,0,0,1,6364,1,8968,25,6000,5978,
389,1,0,0,1,0,0,0,1,6364,1,8968,25,6000,5978,
133,1,0,0,1,1,1,0,0,6108,1,8968,25,6000,5978,
133,1,0,0,1,1,1,0,0,6108,1,8968,25,6000,5978,
32,1,0,0,1,1,0,0,0,6007,1,8968,25,6000,5978,
438,0,0,0,1,1,0,0,0,6413,1,8968,25,6000,5978,
438,0,0,0,1,1,1,0,0,6413,1,8968,25,6000,5978,
399,1,0,0,1,1,0,0,0,6374,1,8968,25,6000,5978,
399,1,0,0,1,1,0,0,0,6374,1,8968,25,6000,5978,
80,1,0,0,1,1,1,0,0,6055,1,8968,25,6000,5978,
80,1,0,0,1,1,1,0,0,6055,1,8968,25,6000,5978,
399,1,0,0,0,0,0,0,0,6374,1,8968,25,6000,5978,
399,1,0,0,1,1,0,0,0,6374,1,8968,25,6000,5978,
399,1,0,0,1,1,1,0,0,6374,1,8968,25,6000,5978,
399,1,0,0,1,1,1,0,0,6374,1,8968,25,6000,5978,
399,1,0,0,0,0,0,0,0,6374,1,8968,25,6000,5978,
399,1,0,0,1,1,1,0,0,6374,1,8968,25,6000,5978,
399,1,0,0,0,0,0,0,0,6374,1,8968,25,6000,5978,
399,1,0,0,0,0,0,0,0,6374,1,8968,25,6000,5978,
399,1,0,0,1,1,1,0,0,6374,1,8968,25,6000,5978,
399,1,0,0,1,1,1,0,0,6374,1,8968,25,6000,5978,
25,1,0,0,1,1,1,0,0,6000,1,8968,25,6000,5978,
25,1,0,0,1,1,1,0,0,6000,1,8968,25,6000,5978,
25,1,0,0,1,0,0,0,0,6000,1,8968,25,6000,5978,
395,1,0,0,0,0,0,0,0,6370,1,8968,25,6000,5978,
395,1,0,0,0,0,0,0,0,6370,1,8968,25,6000,5978,
395,1,0,0,1,1,0,0,0,6370,1,8968,25,6000,5978,
429,0,0,0,1,1,1,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,1,0,0,6404,1,8968,25,6000,5978,
133,1,0,0,1,1,1,1,0,6108,1,8968,25,6000,5978,
133,1,0,0,1,1,1,1,0,6108,1,8968,25,6000,5978,
80,1,0,0,1,1,1,1,0,6055,1,8968,25,6000,5978,
80,1,0,0,1,1,1,1,0,6055,1,8968,25,6000,5978,
25,1,0,0,1,0,0,0,0,6000,1,8968,25,6000,5978,
25,0,0,0,1,0,0,0,0,6000,1,8968,25,6000,5978,
395,1,0,0,0,0,0,0,0,6370,1,8968,25,6000,5978,
395,1,0,0,1,1,1,0,0,6370,1,8968,25,6000,5978,
395,1,0,0,0,0,0,0,0,6370,1,8968,25,6000,5978,
395,1,0,0,1,1,1,0,0,6370,1,8968,25,6000,5978,
25,1,0,0,1,0,0,0,0,6000,1,8968,25,6000,5978,
395,1,0,0,0,0,0,0,0,6370,1,8968,25,6000,5978,
393,1,0,0,1,1,1,0,0,6368,1,8968,25,6000,5978,
393,1,0,0,1,1,1,0,0,6368,1,8968,25,6000,5978,
393,1,0,0,1,1,1,0,0,6368,1,8968,25,6000,5978,
393,1,0,0,1,1,1,0,0,6368,1,8968,25,6000,5978,
372,0,0,0,1,0,0,0,0,6347,1,8968,25,6000,5978,
396,1,0,0,0,0,0,0,0,6371,1,8968,25,6000,5978,
396,1,0,0,1,0,0,0,0,6371,1,8968,25,6000,5978,
396,1,0,0,1,0,1,0,0,6371,1,8968,25,6000,5978,
396,1,0,0,1,0,1,0,0,6371,1,8968,25,6000,5978,
371,0,0,0,1,0,0,0,0,6346,1,8968,25,6000,5978,
371,0,0,0,1,0,0,0,0,6346,1,8968,25,6000,5978,
25,1,0,0,1,1,0,0,0,6000,1,8968,23,5998,5978,
25,1,0,0,1,1,1,0,1,6000,1,8968,23,5998,5978,
25,1,0,0,1,1,1,0,1,6000,1,8968,23,5998,5978,
25,1,0,0,1,1,1,0,1,6000,1,8968,23,5998,5978,
25,1,0,0,1,1,1,0,1,6000,1,8968,23,5998,5978,
429,1,0,0,1,1,0,0,0,6404,1,8968,23,5998,5978,
429,1,0,0,1,1,0,0,0,6404,1,8968,23,5998,5978,
180,1,0,0,1,1,1,0,1,6155,1,8968,23,5998,5978,
284,1,0,0,1,1,1,0,0,6259,1,8968,23,5998,5978,
284,1,0,0,1,1,1,0,0,6259,1,8968,23,5998,5978,
25,1,0,0,1,1,1,0,1,6000,1,8968,23,5998,5978,
375,1,1,0,1,1,1,0,0,6350,1,8968,23,5998,5978,
375,1,1,0,1,1,1,0,0,6350,1,8968,23,5998,5978,
375,1,1,0,1,1,1,0,0,6350,1,8968,23,5998,5978,
375,1,1,0,1,1,1,0,0,6350,1,8968,23,5998,5978,
375,1,1,0,1,1,1,0,0,6350,1,8968,23,5998,5978,
375,1,1,0,1,1,1,0,0,6350,1,8968,23,5998,5978,
1421,0,0,0,1,0,1,0,0,7397,1,8968,23,5998,5978,
25,1,1,0,1,1,1,0,0,6000,1,1275,23,5998,5978,
25,1,0,0,1,1,1,0,0,6000,1,1275,23,5998,5978,
25,1,1,0,1,1,1,0,0,6000,1,1275,23,5998,5978,
25,1,0,0,1,1,1,0,0,6000,1,1275,23,5998,5978,
25,1,1,0,1,1,1,0,0,6000,1,1275,23,5998,5978,
71,0,1,0,1,1,1,0,1,6046,1,8968,23,5998,5978,
364,0,0,0,1,0,0,0,0,6339,1,1275,23,5998,5978,
364,0,0,0,1,0,0,0,0,6339,1,1275,23,5998,5978,
23,0,0,0,1,0,0,0,0,5998,1,8968,23,5998,5978,
284,1,0,0,1,1,1,0,0,6259,1,8968,23,5998,5978,
284,1,0,0,1,1,0,0,0,6259,1,8968,23,5998,5978,
374,1,0,0,1,1,0,0,0,6349,1,8968,23,5998,5978,
374,1,0,0,0,0,0,0,0,6349,1,8968,23,5998,5978,
374,1,0,0,1,1,0,0,0,6349,1,8968,23,5998,5978,
374,1,0,0,0,0,0,0,0,6349,1,8968,23,5998,5978,
25,0,0,0,1,1,0,0,0,6000,1,8968,23,5998,5978,
25,0,0,0,1,1,0,0,0,6000,1,8968,23,5998,5978,
25,0,0,0,1,1,0,0,0,6000,1,8968,23,5998,5978,
25,0,0,0,1,1,0,0,0,6000,1,8968,23,5998,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,23,5998,5978,
71,1,0,0,1,1,1,0,0,6046,1,8968,23,5998,5978,
284,1,0,0,1,1,1,0,0,6259,1,8968,23,5998,5978,
284,1,0,0,1,1,0,0,0,6259,1,8968,23,5998,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,23,5998,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,23,5998,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,23,5998,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,23,5998,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,23,5998,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,23,5998,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,23,5998,5978,
333,1,1,0,1,1,1,0,0,6308,1,8968,23,5998,5978,
333,1,1,0,1,1,1,0,0,6308,1,8968,23,5998,5978,
333,1,1,0,1,1,1,0,0,6308,1,8968,23,5998,5978,
333,1,1,0,1,1,1,0,0,6308,1,8968,23,5998,5978,
333,1,1,0,1,1,1,0,0,6308,1,8968,23,5998,5978,
333,1,1,0,1,1,1,0,0,6308,1,8968,23,5998,5978,
333,1,1,0,1,1,1,0,0,6308,1,8968,23,5998,5978,
333,1,1,0,1,1,1,0,0,6308,1,8968,23,5998,5978,
25,1,0,0,1,1,1,0,0,6000,1,8968,23,5998,5978,
25,1,0,0,1,1,1,0,0,6000,1,8968,23,5998,5978,
25,0,0,0,1,0,0,0,0,6000,1,8968,23,5998,5978,
25,0,0,0,1,0,0,0,0,6000,1,8968,23,5998,5978,
25,0,0,0,1,0,0,0,0,6000,1,8968,23,5998,5978,
91,1,0,0,1,1,0,0,0,6066,1,8968,23,5998,5978,
91,1,0,0,1,1,0,0,0,6066,1,8968,23,5998,5978,
25,0,0,0,1,0,1,0,0,6000,1,8968,23,5998,5978,
25,0,0,0,1,0,1,0,0,6000,1,8968,23,5998,5978,
25,0,0,0,1,0,1,0,0,6000,1,8968,23,5998,5978,
25,0,0,0,1,0,0,0,0,6000,1,8968,23,5998,5978,
25,0,0,0,1,0,0,0,0,6000,1,8968,23,5998,5978,
78,1,0,0,1,1,1,0,0,6053,1,8968,23,5998,5978,
78,1,0,0,1,1,1,0,0,6053,1,8968,23,5998,5978,
91,1,0,0,1,1,0,0,0,6066,1,8968,23,5998,5978,
91,1,0,0,1,1,0,0,0,6066,1,8968,23,5998,5978,
429,1,0,0,1,1,0,0,0,6404,1,8968,23,5998,5978,
429,1,0,0,1,1,0,0,0,6404,1,8968,23,5998,5978,
1120,0,0,0,0,0,0,0,1,7096,1,8968,56,6031,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,17,5992,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,17,5992,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,17,5992,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,17,5992,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,17,5992,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,17,5992,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,17,5992,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,17,5992,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,17,5992,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,17,5992,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,17,5992,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,17,5992,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,17,5992,5978,
25,1,0,0,1,1,1,0,0,6000,1,8968,17,5992,5978,
364,1,0,0,1,1,1,0,1,6339,1,8968,17,5992,5978,
17,1,0,0,1,0,0,0,0,5992,1,8968,17,5992,5978,
553,0,0,0,1,0,0,0,1,6528,1,8968,17,5992,5978,
553,0,0,0,1,0,0,0,1,6528,1,8968,17,5992,5978,
553,0,0,0,1,0,0,0,1,6528,1,8968,17,5992,5978,
553,0,0,0,1,0,0,0,1,6528,1,8968,17,5992,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,25,6000,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,25,6000,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,25,6000,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,25,6000,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,25,6000,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,25,6000,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,25,6000,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,25,6000,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,25,6000,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,25,6000,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,25,6000,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,25,6000,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,25,6000,5978,
25,0,0,0,1,0,0,0,0,6000,1,8968,25,6000,5978,
25,0,0,0,1,0,0,0,0,6000,1,8968,25,6000,5978,
25,0,0,0,1,0,0,0,0,6000,1,8968,25,6000,5978,
25,0,0,0,1,0,1,0,1,6000,1,8968,25,6000,5978,
25,0,0,0,1,0,1,0,1,6000,1,8968,25,6000,5978,
25,0,0,0,1,0,0,0,0,6000,1,8968,25,6000,5978,
25,0,0,0,1,1,1,0,1,6000,1,8968,25,6000,5978,
25,0,0,0,1,1,1,0,1,6000,1,8968,25,6000,5978,
563,0,0,0,1,0,0,0,1,6539,1,8968,25,6000,5978,
563,0,0,0,1,1,0,0,1,6539,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,1,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,1,6404,1,8968,25,6000,5978,
563,0,0,0,1,0,0,0,1,6539,1,8968,25,6000,5978,
560,1,0,0,1,0,0,0,1,6535,1,8968,25,6000,5978,
560,1,0,0,1,0,0,0,1,6535,1,8968,25,6000,5978,
560,1,0,0,1,0,0,0,0,6535,1,8968,25,6000,5978,
560,1,0,0,1,0,0,0,0,6535,1,8968,25,6000,5978,
560,1,0,0,1,0,0,0,0,6535,1,8968,25,6000,5978,
560,1,0,0,1,0,0,0,0,6535,1,8968,25,6000,5978,
560,1,0,0,1,0,0,0,0,6535,1,8968,25,6000,5978,
429,1,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
25,1,0,0,1,1,1,0,1,6000,1,8968,25,6000,5978,
310,1,0,0,0,0,0,0,0,6285,1,8968,25,6000,5978,
25,1,0,0,1,1,1,0,1,6000,1,8968,25,6000,5978,
25,1,0,0,1,1,1,0,1,6000,1,8968,25,6000,5978,
71,0,1,0,1,1,1,0,0,6046,1,8968,25,6000,5978,
429,1,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,1,0,0,1,1,1,0,0,6404,1,8968,25,6000,5978,
429,1,0,0,1,1,1,0,0,6404,1,8968,25,6000,5978,
429,1,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,1,0,0,1,1,1,0,0,6404,1,8968,25,6000,5978,
429,1,0,0,1,1,1,0,0,6404,1,8968,25,6000,5978,
211,1,0,0,1,1,1,0,0,6186,1,8968,25,6000,5978,
211,1,0,0,1,1,1,0,0,6186,1,8968,25,6000,5978,
211,1,0,0,1,1,1,0,0,6186,1,8968,25,6000,5978,
211,1,0,0,0,0,0,0,0,6186,1,8968,25,6000,5978,
211,1,0,0,1,1,1,0,0,6186,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,1,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,1,0,0,6404,1,8968,25,6000,5978,
71,0,0,0,1,1,0,0,0,6046,1,8968,25,6000,5978,
71,0,0,0,1,1,0,0,0,6046,1,8968,25,6000,5978,
71,0,0,0,1,1,0,0,0,6046,1,8968,25,6000,5978,
65,0,1,0,1,1,1,0,1,6040,1,8968,25,6000,5978,
65,0,1,0,1,1,1,0,1,6040,1,8968,25,6000,5978,
65,0,1,0,1,1,1,0,1,6040,1,8968,25,6000,5978,
65,0,1,0,1,1,1,0,1,6040,1,8968,25,6000,5978,
65,0,1,0,1,1,1,0,1,6040,1,8968,25,6000,5978,
25,0,0,0,1,1,0,0,0,6000,1,8968,25,6000,5978,
25,0,0,0,1,1,0,0,0,6000,1,8968,25,6000,5978,
25,0,0,0,1,1,0,0,0,6000,1,8968,25,6000,5978,
25,0,0,0,1,0,0,0,0,6000,1,8968,25,6000,5978,
25,0,0,0,1,1,0,0,0,6000,1,8968,25,6000,5978,
25,0,0,0,1,1,0,0,0,6000,1,8968,25,6000,5978,
25,0,0,0,1,1,0,0,0,6000,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
1136,0,0,0,1,0,0,0,0,7112,1,8968,25,6000,5978,
840,1,0,0,1,1,0,0,0,6816,1,8968,25,6000,5978,
840,1,0,0,1,1,0,0,0,6816,1,8968,25,6000,5978,
840,1,0,0,1,1,0,0,0,6816,1,8968,25,6000,5978,
840,1,0,0,1,1,0,0,0,6816,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
371,0,0,0,1,0,0,0,0,6346,1,8968,25,6000,5978,
371,0,0,0,1,0,0,0,0,6346,1,8968,25,6000,5978,
371,0,0,0,1,0,0,0,0,6346,1,8968,25,6000,5978,
25,1,0,0,1,1,0,0,0,6000,1,8968,25,6000,5978,
25,1,0,0,1,1,0,0,0,6000,1,8968,25,6000,5978,
25,1,0,0,1,1,0,0,0,6000,1,8968,25,6000,5978,
145,0,0,0,1,0,0,0,0,6120,1,8968,25,6000,5978,
145,0,0,0,1,0,0,0,0,6120,1,8968,25,6000,5978,
145,0,0,0,1,0,0,0,0,6120,1,8968,25,6000,5978,
145,0,0,0,1,0,0,0,0,6120,1,8968,25,6000,5978,
840,1,0,0,1,0,1,0,0,6816,1,8968,25,6000,5978,
429,1,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,1,0,0,1,1,1,0,0,6404,1,8968,25,6000,5978,
429,1,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
25,1,0,0,1,1,1,0,0,6000,1,8968,25,6000,5978,
25,1,0,0,1,1,1,0,0,6000,1,8968,25,6000,5978,
25,1,0,0,1,1,1,0,0,6000,1,8968,25,6000,5978,
25,1,0,0,1,1,1,0,0,6000,1,8968,25,6000,5978,
25,1,0,0,1,1,0,0,0,6000,1,8968,25,6000,5978,
25,1,0,0,1,1,1,0,0,6000,1,8968,25,6000,5978,
25,1,0,0,1,1,0,0,0,6000,1,8968,25,6000,5978,
25,1,0,0,1,1,1,0,1,6000,1,8968,25,6000,5978,
25,1,0,0,1,1,0,0,1,6000,1,8968,25,6000,5978,
25,0,0,0,1,1,0,0,0,6000,1,8968,25,6000,5978,
25,0,0,0,1,1,0,0,0,6000,1,8968,25,6000,5978,
91,0,0,0,0,1,0,0,0,6066,1,8968,25,6000,5978,
91,0,0,0,0,1,0,0,0,6066,1,8968,25,6000,5978,
91,0,0,0,0,1,0,0,0,6066,1,8968,25,6000,5978,
25,0,0,0,1,1,0,0,0,6000,1,8968,25,6000,5978,
25,0,0,0,1,1,0,0,0,6000,1,8968,25,6000,5978,
25,0,0,0,1,1,0,0,0,6000,1,8968,25,6000,5978,
25,0,0,0,1,1,0,0,0,6000,1,8968,25,6000,5978,
25,0,0,0,1,1,1,0,0,6000,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,1,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,1,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,1,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,517,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,517,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,517,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
429,0,0,0,1,1,0,0,0,6404,1,8968,25,6000,5978,
25,0,0,0,1,1,1,0,0,6000,1,8968,25,6000,5978,
1421,0,0,0,1,1,1,0,0,7397,1,8968,25,6000,5978,
