F83,F71-ggregory@apache.org,F71-rgoers@apache.org,F71-carnold@apache.org,F74,F85,F73,F84,F146,F147,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,1,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
26,1,0,0,8172,1,8968,9,8155,8149,
26,1,0,0,8172,1,8968,9,8155,8149,
26,1,0,0,8172,1,8968,9,8155,8149,
26,1,0,0,8172,1,8968,9,8155,8149,
26,1,1,0,8172,1,8968,9,8155,8149,
26,1,1,0,8172,1,8968,9,8155,8149,
40,1,1,0,8186,1,8968,9,8155,8149,
40,1,1,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,1,0,8186,1,8968,9,8155,8149,
40,1,1,0,8186,1,8968,9,8155,8149,
40,1,1,0,8186,1,8968,9,8155,8149,
40,1,1,0,8186,1,8968,9,8155,8149,
9,0,1,0,8155,1,8968,9,8155,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,0,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,1,8186,1,8968,10,8156,8149,
40,1,1,1,8186,1,8968,10,8156,8149,
13,1,1,1,8159,1,8968,10,8156,8149,
13,1,1,1,8159,1,8968,10,8156,8149,
10,1,1,0,8156,1,6413,10,8156,8149,
10,1,1,0,8156,1,6413,10,8156,8149,
10,1,1,0,8156,1,6413,10,8156,8149,
10,1,1,0,8156,1,6413,10,8156,8149,
10,1,1,0,8156,1,6413,10,8156,8149,
10,0,1,0,8156,1,6413,10,8156,8149,
10,0,1,0,8156,1,6413,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,7485,10,8156,8149,
40,1,1,0,8186,1,7485,10,8156,8149,
40,1,1,0,8186,1,7527,10,8156,8149,
40,1,1,0,8186,1,7527,10,8156,8149,
40,1,0,0,8186,1,8968,10,8156,8149,
40,1,0,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,0,0,8186,1,8968,2,8148,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
40,1,0,0,8186,1,8968,2,8148,8149,
10,1,1,0,8156,1,8968,2,8148,8149,
10,1,1,0,8156,1,8968,2,8148,8149,
2,1,1,0,8148,1,8968,2,8148,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
40,1,0,0,8186,1,1275,2,8148,8149,
40,1,0,0,8186,1,1275,2,8148,8149,
40,1,0,0,8186,1,1275,2,8148,8149,
40,1,1,0,8186,1,1275,2,8148,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
10,0,1,0,8156,1,8968,2,8148,8149,
10,0,1,0,8156,1,8968,2,8148,8149,
40,1,1,0,8186,1,7397,2,8148,8149,
40,1,1,0,8186,1,7397,2,8148,8149,
40,1,1,0,8186,1,7397,2,8148,8149,
40,1,0,0,8186,1,7397,2,8148,8149,
40,1,1,0,8186,1,7397,2,8148,8149,
8,1,1,0,8154,1,8968,2,8148,8149,
8,1,1,0,8154,1,7397,2,8148,8149,
8,1,1,0,8154,1,7397,2,8148,8149,
8,1,1,0,8154,1,7397,2,8148,8149,
8,1,1,0,8154,1,7397,2,8148,8149,
8,1,1,0,8154,1,7397,2,8148,8149,
8,1,1,0,8154,1,7397,2,8148,8149,
8,1,1,0,8154,1,7397,2,8148,8149,
8,1,1,0,8154,1,7397,2,8148,8149,
8,1,1,0,8154,1,7397,2,8148,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,1,0,8186,1,6540,40,8186,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,6404,40,8186,8149,
40,1,0,0,8186,1,6404,40,8186,8149,
40,1,1,0,8186,1,6404,40,8186,8149,
40,1,1,0,8186,1,6404,40,8186,8149,
40,1,0,0,8186,1,6404,40,8186,8149,
40,1,0,0,8186,1,6404,40,8186,8149,
40,1,1,0,8186,1,6404,40,8186,8149,
40,1,1,0,8186,1,6404,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,1,0,8186,1,7397,40,8186,8149,
40,1,0,0,8186,1,7397,40,8186,8149,
40,1,1,0,8186,1,7397,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,1,0,8186,1,6528,40,8186,8149,
40,1,1,0,8186,1,6528,40,8186,8149,
13,1,1,0,8159,1,8968,6,8152,8149,
13,1,1,0,8159,1,8968,6,8152,8149,
13,1,1,0,8159,1,8968,6,8152,8149,
13,1,1,0,8159,1,8968,6,8152,8149,
13,1,1,0,8159,1,8968,6,8152,8149,
13,1,1,0,8159,1,8968,6,8152,8149,
40,1,1,0,8186,1,8968,6,8152,8149,
40,1,0,0,8186,1,8968,6,8152,8149,
40,1,0,0,8186,1,8968,6,8152,8149,
40,1,1,0,8186,1,8968,6,8152,8149,
40,1,1,0,8186,1,8968,6,8152,8149,
40,1,0,0,8186,1,8968,6,8152,8149,
40,1,1,0,8186,1,8968,6,8152,8149,
40,1,1,0,8186,1,8968,6,8152,8149,
40,1,1,0,8186,1,8968,6,8152,8149,
40,1,0,0,8186,1,8968,6,8152,8149,
40,1,1,0,8186,1,8968,6,8152,8149,
40,1,1,0,8186,1,8968,6,8152,8149,
40,1,1,0,8186,1,8968,6,8152,8149,
40,1,1,0,8186,1,8968,6,8152,8149,
40,1,0,0,8186,1,8968,6,8152,8149,
6,1,1,0,8152,1,7397,6,8152,8149,
6,1,1,0,8152,1,7397,6,8152,8149,
6,1,1,0,8152,1,7397,6,8152,8149,
6,1,1,0,8152,1,7397,6,8152,8149,
6,1,1,0,8152,1,7397,6,8152,8149,
6,1,1,0,8152,1,7397,6,8152,8149,
6,1,1,0,8152,1,7397,6,8152,8149,
6,1,1,0,8152,1,7397,6,8152,8149,
6,1,1,0,8152,1,7397,6,8152,8149,
6,1,1,0,8152,1,7397,6,8152,8149,
6,1,1,0,8152,1,7397,6,8152,8149,
6,0,1,0,8152,1,7397,6,8152,8149,
6,1,1,0,8152,1,7397,6,8152,8149,
40,1,1,0,8186,1,8968,6,8152,8149,
40,1,1,0,8186,1,8968,6,8152,8149,
40,1,1,0,8186,1,8968,6,8152,8149,
40,1,1,0,8186,1,8968,6,8152,8149,
40,1,1,0,8186,1,8968,6,8152,8149,
40,1,1,0,8186,1,7944,6,8152,8149,
40,1,0,0,8186,1,7944,6,8152,8149,
40,1,0,0,8186,1,7944,6,8152,8149,
40,1,1,0,8186,1,8968,13,8159,8149,
40,1,1,0,8186,1,8968,13,8159,8149,
40,1,0,0,8186,1,8968,13,8159,8149,
40,1,0,0,8186,1,8968,13,8159,8149,
40,1,0,0,8186,1,8968,13,8159,8149,
40,1,0,0,8186,1,8968,13,8159,8149,
40,1,1,0,8186,1,8968,13,8159,8149,
40,1,1,0,8186,1,8968,13,8159,8149,
40,1,0,0,8186,1,8968,13,8159,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,7397,40,8186,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
10,0,1,0,8156,1,8968,2,8148,8149,
10,0,1,0,8156,1,8061,2,8148,8149,
10,1,1,0,8156,1,8061,2,8148,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
40,1,0,0,8186,1,7397,2,8148,8149,
40,1,1,0,8186,1,7397,2,8148,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
40,1,0,0,8186,1,8968,2,8148,8149,
40,1,1,0,8186,1,7397,40,8186,8149,
40,1,0,0,8186,1,7397,40,8186,8149,
40,1,0,0,8186,1,7397,40,8186,8149,
40,1,0,0,8186,1,7397,40,8186,8149,
40,1,0,0,8186,1,7397,40,8186,8149,
40,1,1,0,8186,1,7397,40,8186,8149,
40,1,0,0,8186,1,7397,8,8154,8149,
40,1,0,0,8186,1,7397,8,8154,8149,
40,1,0,0,8186,1,7397,8,8154,8149,
40,1,0,0,8186,1,7397,8,8154,8149,
10,1,1,0,8156,1,7397,8,8154,8149,
10,1,1,0,8156,1,7397,8,8154,8149,
10,1,1,0,8156,1,7397,8,8154,8149,
8,1,1,0,8154,1,7397,8,8154,8149,
8,1,1,0,8154,1,7397,8,8154,8149,
40,1,1,0,8186,1,7397,8,8154,8149,
8,0,1,0,8154,1,7397,8,8154,8149,
8,0,1,0,8154,1,7397,8,8154,8149,
8,0,1,0,8154,1,7397,8,8154,8149,
8,1,1,0,8154,1,7397,8,8154,8149,
8,1,1,0,8154,1,7397,8,8154,8149,
10,1,1,0,8156,1,7397,8,8154,8149,
10,1,1,0,8156,1,7397,8,8154,8149,
10,1,1,0,8156,1,7901,8,8154,8149,
10,1,1,0,8156,1,7901,8,8154,8149,
40,1,1,0,8186,1,8968,13,8159,8149,
40,1,1,0,8186,1,8968,13,8159,8149,
40,1,1,0,8186,1,8968,13,8159,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
2,1,1,0,8148,1,8061,2,8148,8149,
40,1,0,0,8186,1,8968,2,8148,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
40,1,1,0,8186,1,7475,2,8148,8149,
40,1,1,0,8186,1,7475,2,8148,8149,
40,1,0,0,8186,1,7475,2,8148,8149,
40,1,1,0,8186,1,7475,2,8148,8149,
40,1,1,0,8186,1,7475,2,8148,8149,
40,1,0,0,8186,1,7397,2,8148,8149,
40,1,1,0,8186,1,7397,2,8148,8149,
40,1,1,0,8186,1,7397,2,8148,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
7,0,1,0,8153,1,8968,2,8148,8149,
40,1,0,0,8186,1,8968,2,8148,8149,
40,1,0,0,8186,1,8968,2,8148,8149,
7,0,1,0,8153,1,7475,2,8148,8149,
7,0,1,0,8153,1,7475,2,8148,8149,
40,1,0,0,8186,1,8968,2,8148,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
40,1,0,0,8186,1,8968,2,8148,8149,
40,1,1,0,8186,1,7944,2,8148,8149,
40,1,1,0,8186,1,7944,2,8148,8149,
7,1,1,0,8153,1,8968,2,8148,8149,
7,1,1,0,8153,1,8968,2,8148,8149,
40,1,1,0,8186,1,7856,2,8148,8149,
40,1,1,0,8186,1,7856,2,8148,8149,
40,1,1,0,8186,1,7856,2,8148,8149,
40,1,1,0,8186,1,7856,2,8148,8149,
37,1,1,0,8183,1,8968,2,8148,8149,
11,1,0,0,8157,1,8968,2,8148,8149,
40,1,1,0,8186,1,6000,2,8148,8149,
40,1,0,0,8186,1,8968,2,8148,8149,
40,1,1,0,8186,1,7901,2,8148,8149,
40,1,1,0,8186,1,7901,2,8148,8149,
8,1,1,0,8154,1,6000,2,8148,8149,
8,1,1,0,8154,1,6000,2,8148,8149,
8,1,1,0,8154,1,6000,2,8148,8149,
8,1,1,0,8154,1,6000,2,8148,8149,
10,1,1,0,8156,1,8968,2,8148,8149,
10,1,1,0,8156,1,8968,2,8148,8149,
10,1,1,0,8156,1,8968,2,8148,8149,
10,1,1,0,8156,1,8968,2,8148,8149,
10,1,1,0,8156,1,8968,2,8148,8149,
10,1,1,0,8156,1,8968,2,8148,8149,
10,1,1,0,8156,1,8968,2,8148,8149,
10,1,1,0,8156,1,8968,2,8148,8149,
40,1,1,0,8186,1,8968,2,8148,8149,
23,1,1,0,8169,1,4666,23,8169,8149,
23,1,1,0,8169,1,4666,23,8169,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
518,0,1,0,8664,1,8968,518,8664,8149,
533,0,1,0,8679,1,8968,518,8664,8149,
533,0,1,0,8679,1,8968,518,8664,8149,
533,0,1,0,8679,1,8968,518,8664,8149,
533,0,1,0,8679,1,8968,518,8664,8149,
8,1,1,0,8154,1,7449,8,8154,8149,
40,1,1,0,8186,1,8968,8,8154,8149,
40,1,1,0,8186,1,8968,8,8154,8149,
40,1,1,0,8186,1,8968,8,8154,8149,
40,1,1,0,8186,1,8968,8,8154,8149,
40,1,1,0,8186,1,8968,8,8154,8149,
40,1,1,0,8186,1,8968,8,8154,8149,
40,1,1,0,8186,1,8968,8,8154,8149,
40,1,1,0,8186,1,8968,8,8154,8149,
40,1,1,0,8186,1,8968,8,8154,8149,
40,1,1,0,8186,1,8968,8,8154,8149,
40,1,0,0,8186,1,8968,8,8154,8149,
40,1,0,0,8186,1,8968,8,8154,8149,
40,1,1,0,8186,1,8968,8,8154,8149,
40,1,1,0,8186,1,8968,8,8154,8149,
40,1,0,0,8186,1,8968,8,8154,8149,
40,1,1,0,8186,1,8968,8,8154,8149,
40,1,1,0,8186,1,8968,8,8154,8149,
40,1,0,0,8186,1,8968,8,8154,8149,
40,1,0,0,8186,1,8968,8,8154,8149,
40,1,1,0,8186,1,8968,8,8154,8149,
40,1,1,0,8186,1,8968,8,8154,8149,
40,1,0,0,8186,1,8968,8,8154,8149,
40,1,1,0,8186,1,8968,8,8154,8149,
10,1,1,0,8156,1,8968,8,8154,8149,
40,1,1,0,8186,1,8968,8,8154,8149,
23,1,1,0,8169,1,8968,10,8156,8149,
10,1,1,0,8156,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,22,8168,8149,
40,1,1,0,8186,1,8968,22,8168,8149,
40,1,1,0,8186,1,8968,22,8168,8149,
23,0,1,0,8169,1,8968,22,8168,8149,
23,0,1,0,8169,1,8968,22,8168,8149,
23,0,1,0,8169,1,8968,22,8168,8149,
23,0,1,0,8169,1,8968,22,8168,8149,
23,0,1,0,8169,1,8968,22,8168,8149,
23,0,1,0,8169,1,8968,22,8168,8149,
23,0,1,0,8169,1,8968,22,8168,8149,
23,0,1,0,8169,1,8968,22,8168,8149,
23,0,1,0,8169,1,8968,22,8168,8149,
23,0,1,0,8169,1,8968,22,8168,8149,
23,1,1,1,8169,1,8968,22,8168,8149,
23,1,1,1,8169,1,8968,22,8168,8149,
23,0,1,0,8169,1,8968,22,8168,8149,
23,0,1,0,8169,1,8968,22,8168,8149,
23,0,1,0,8169,1,8968,22,8168,8149,
23,0,1,0,8169,1,8968,22,8168,8149,
23,0,1,0,8169,1,8968,22,8168,8149,
23,0,1,0,8169,1,8968,22,8168,8149,
23,0,1,0,8169,1,8968,22,8168,8149,
22,0,1,0,8168,1,8968,22,8168,8149,
22,0,1,0,8168,1,8968,22,8168,8149,
22,0,1,0,8168,1,8968,22,8168,8149,
22,0,1,0,8168,1,8968,22,8168,8149,
40,1,1,1,8186,1,8968,22,8168,8149,
40,1,1,1,8186,1,8968,22,8168,8149,
40,1,1,1,8186,1,8968,22,8168,8149,
40,1,1,1,8186,1,8968,22,8168,8149,
40,1,1,0,8186,1,8968,22,8168,8149,
40,1,1,0,8186,1,8968,22,8168,8149,
40,1,1,0,8186,1,8968,22,8168,8149,
40,1,1,0,8186,1,8968,22,8168,8149,
23,1,1,0,8169,1,8968,22,8168,8149,
23,1,1,0,8169,1,8968,22,8168,8149,
40,1,1,0,8186,1,8968,22,8168,8149,
40,1,1,0,8186,1,8968,22,8168,8149,
40,1,1,0,8186,1,8968,22,8168,8149,
40,1,1,0,8186,1,8968,22,8168,8149,
40,1,0,0,8186,1,8968,22,8168,8149,
40,1,1,0,8186,1,8968,22,8168,8149,
40,1,1,0,8186,1,8968,22,8168,8149,
40,1,1,0,8186,1,8968,22,8168,8149,
40,1,1,0,8186,1,8968,22,8168,8149,
40,1,1,0,8186,1,8968,22,8168,8149,
40,1,1,0,8186,1,8968,22,8168,8149,
40,1,1,0,8186,1,8968,22,8168,8149,
77,0,1,0,8223,1,8968,77,8223,8149,
77,0,1,0,8223,1,8968,77,8223,8149,
77,0,1,0,8223,1,8968,77,8223,8149,
77,0,1,0,8223,1,8968,77,8223,8149,
77,0,1,0,8223,1,8968,77,8223,8149,
77,0,1,0,8223,1,8968,77,8223,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,1,0,8186,1,7398,40,8186,8149,
40,1,1,0,8186,1,7398,40,8186,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,2,8148,8149,
10,1,1,0,8156,1,8968,10,8156,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
332,1,1,0,8478,1,8968,40,8186,8149,
332,1,1,0,8478,1,8968,40,8186,8149,
